,tgt,label,node1,node2,nodes,ctx
0,Der Doppelpacker hat das Auge für den im Zentrum lauernden PLAYER .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 6,1 1 3 3 5 5 7 7,Doppelpacker haben Auge habenIm Zentrum habenFür PLAYER für,ticker
1,ASSIST setzt sich am rechten Flügel gegen PER durch und legt von der Grundlinie halbhoch zurück .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 8 10 8 12,1 1 3 3 5 5 7 7 9 9 11 11,ASSIST setzen sich legen halbhoch legenVon Grundlinie setzenAm Flügel gegen PER attr rechten,ticker
2,PLAYER schraubt sich zwischen Sulu und PER hoch und nickt aus fünf Metern ins rechte Eck ein .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 6 0 9 2 11 9 13,1 1 3 3 5 5 7 7 8 8 10 10 12 12,PLAYER nickenIns Eck schrauben sich schraubenZwischen PER schraubenZwischen nickenAus Metern attr rechte attr fünf,ticker
3,PLAYER steuerte alleine auf KEEPER zu und ließ dem Keeper der Gastgeber mit einem Lupfer von der Strafraumgrenze keine Chance .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 3 5 3 7 8 10 8 0 10 0,1 1 4 4 6 6 9 9 11 11 12 12,Lupfer von Strafraumgrenze PLAYER steuernAuf KEEPER lassen Chance Gastgeber haben Keeper KeeperMit mit,report
4,PLAYER Nach der zunächst kurz ausgeführten Ecke fällt das SCORE .,A0 A1 A0 A1 A0 A1,0 2 0 4 4 6,1 1 3 3 5 5,SCORE fällenNach PLAYER fällenNach Ecke attr ausgeführten,ticker
5,Und dessen Flanke nickt PLAYER vor PER aus neun Metern genau ins linke Eck .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 8 4 0 4 2 4 6 6 14 14 16,1 1 3 3 5 5 7 7 9 9 10 10 11 11 12 12 13 13 15 15,Flanke nickenIns Eck nicken PLAYER nickenVor PER attr linke attr nicken nickenIns nickenVor aus Metern attr neun,ticker
6,ASSIST filetiert die TEAM Hintermannschaft mit einem klugen Pass in die Spitze .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 6 8 2 8 11 8 0,1 1 3 3 5 5 7 7 9 9 10 10 12 12,Hintermannschaft mit Pass attr TEAM attr klugen attr ASSIST filetierenMit filetierenIn Spitze filetieren,ticker
7,PLAYER rauschte heran und vollendete aus acht Metern mit trockenem Flachschuss ins rechte Eck .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 4 10 6 12,1 1 3 3 5 5 7 7 9 9 11 11,PLAYER vollendenIns Eck vollendenAus Metern vollendenMit Flachschuss attr rechte attr acht attr trockenem,report
8,Ehe PLAYER Doppelschlag die TEAM in Unterzahl sogar in Führung brachte .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 9 0,1 1 3 3 5 5 7 7 10 10,Doppelschlag bringen TEAM bringenIn Unterzahl bringen Ehe bringenIn Führung PLAYER hat,report
9,PLAYER rauschte heran und vollendete gegen die unsortierte Abwehr der Gastgeber aus elf Metern unbedrängt zum schnellen SCORE .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 5 7 5 4 7 10 4 12 4 7,1 1 3 3 6 6 8 8 9 9 11 11 13 13,PLAYER vollenden SCORE vollendenGegen Abwehr Gastgeber AbwehrAus Metern haben attr elf attr unsortierte aus,report
10,PER leitet in die Tiefe auf ASSIST weiter .,A0 A1 A0 A1,0 2 3 0,1 1 4 4,Tiefe auf ASSIST PER leitenIn,ticker
11,PER und ASSIST haben rechts zu viel Platz .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 5 4 5 2,1 1 3 3 6 6 7 7,ASSIST haben Platz haben rechts PER haben haben,ticker
12,PLAYER verwandelte das Zuspiel des Russen in der Mitte zum 1:3 .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 5 2 5 4,1 1 3 3 6 6 7 7,Russen in Mitte haben Zuspiel PLAYER verwandelnIn verwandeln,report
13,ASSIST nimmt den Ball an und flankt präzise an die Strafraumgrenze .,A0 A1 A0 A1 A0 A1,0 2 0 4 0 6,1 1 3 3 5 5,ASSIST flanken präzise flankenAn Strafraumgrenze nehmen Ball,ticker
14,Aus 25 Metern halbrechter Position schlenzt PLAYER einen Freistoß über die Mauer hinweg genau ins rechte untere Eck .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 2 8 10 6 6 13 6 15 4 17 4 19,1 1 3 3 5 5 7 7 9 9 11 11 12 12 14 14 16 16 18 18,PLAYER schlenzen Freistoß schlenzenIns Eck schlenzenAus Metern schlenzenÜber Mauer über Position haben attr 25 attr halbrechter attr rechte attr untere,ticker
15,PLAYER zieht von links nach innen und sucht aus 20 Metern den Abschluss .,A0 A1 A0 A1 A0 A1,0 2 0 4 0 6,1 1 3 3 5 5,PLAYER ziehenNach innen suchen Abschluss ziehenVon links,ticker
16,PER wehrt per Kopf genau in die Füße von PLAYER ab .,A0 A1 A0 A1 A0 A1,0 2 0 4 5 7,1 1 3 3 6 6,PER wehren in wehrenPer Kopf PLAYER haben Füße,ticker
17,PLAYER übernimmt die Verantwortung und jagt den Elfmeter satt unter die Querlatte .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8,1 1 3 3 5 5 7 7,PLAYER jagen satt jagenUnter Querlatte jagen Elfmeter übernehmen Verantwortung,ticker
18,PLAYER köpfte einen weiten Einwurf von ASSIST Richtung eigenes Tor und überraschte damit seinen Keeper auf dem falschen Fuß .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 0 10 4 12 6 10 6 2 10 16,1 1 3 3 5 5 7 7 9 9 11 11 13 13 14 14 15 15,PLAYER überrascht Keeper überraschtAuf Fuß köpfenVon ASSIST köpfen Tor köpfen Einwurf attr falschen haben haben attr weiten,report
19,ASSIST hebt den Kopf und sieht PER am zweiten Pfosten sowie PLAYER zentral vor dem Tor .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 0 10 6 12 8 12,1 1 3 3 5 5 7 7 9 9 11 11 13 13,ASSIST sehen PER heben Kopf sehenAm PLAYER sehenAm Pfosten sehenVor Tor attr zweiten attr,ticker
20,PLAYER lässt PER schlecht aussehen und köpft eine Flanke von ASSIST auf Höhe des zweiten Pfostens ins Tor .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 0 10 0 12 2 6 6 8 8 12 16 8,1 1 3 3 5 5 7 7 9 9 11 11 13 13 14 14 15 15 17 17,PLAYER köpfenVon ASSIST lässt aussehen köpfen Flanke köpfenAuf Höhe lässt PER köpfenIns Tor haben auf ins Pfostens haben,ticker
21,ASSIST schaufelt den Ball von der linken Seite in den Strafraum .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 4 8,1 1 3 3 5 5 7 7,ASSIST schaufelnIn Strafraum schaufelnVon Seite schaufeln Ball attr linken,ticker
22,ASSIST schickt PLAYER steil .,A0 A1,0 2,1 1,ASSIST schicken PLAYER,ticker
23,PLAYER donnert das Spielgerät direkt in den rechten Winkel !,A0 A1 A0 A1 A0 A1,0 2 0 4 4 6,1 1 3 3 5 5,PLAYER donnern Spielgerät donnernIn Winkel attr rechten,ticker
24,PLAYER guckt sich KEEPER aus und trifft mit einem schönen Schlenzer ins linke Toreck .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 4 8,1 1 3 3 5 5 7 7,PLAYER gucken KEEPER treffenIns Toreck gucken sich attr linke,ticker
25,PLAYER tritt an und trifft mit einem Schuss ins linke Eck .,A0 A1 A0 A1 A0 A1,0 2 2 4 4 6,1 1 3 3 5 5,PLAYER treffenMit Schuss ins Eck attr linke,ticker
26,ASSIST legt eine PER per Kopf ab auf PLAYER .,A0 A1 A0 A1 A0 A1,0 2 0 4 0 6,1 1 3 3 5 5,ASSIST legen PER legenPer Kopf legenAuf PLAYER,ticker
27,Das nutzt ASSIST eiskalt mit einem starken Flachpass auf PLAYER aus .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 2 10,1 1 3 3 5 5 7 7 9 9,Das nutzenMit Flachpass nutzen ASSIST nutzen eiskalt attr starken auf PLAYER,ticker
28,Steckte dann im richtigen Augenblick den Fuß in eine scharfe Flanke von ASSIST .,A0 A1,0 2,1 1,ASSIST haben Flanke,report
29,Kapitän PLAYER ließ noch einen Distanzschuss unter die Latte zum Entstand heraus .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 2 8 4 0 4 2 4 6 4 8 6 2,1 1 3 3 5 5 7 7 9 9 10 10 11 11 12 12 13 13 14 14,Kapitän lassenUnter Latte lassen PLAYER lassen Distanzschuss lassenZum Entstand zum lassen lassenUnter lassen lassenZum unter,report
30,PLAYER narrt auf halbrechts PER und Mohamad .,A0 A1 A0 A1,0 2 0 2,1 1 3 3,PLAYER narren PER narren,ticker
31,PLAYER zirkelt das Leder am rechten Strafraumeck unhaltbar über die Mauer .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 4 10,1 1 3 3 5 5 7 7 9 9,PLAYER zirkeln unhaltbar zirkelnAm Strafraumeck zirkeln über zirkeln Leder attr rechten,ticker
32,ASSIST bringt an der Strafraumgrenze PLAYER ins Spiel .,A0 A1 A0 A1,0 2 3 2,1 1 4 4,ASSIST bringenAn Strafraumgrenze PLAYER sein,ticker
33,PLAYER öffnet den Fuß nach einem Rückpass von ASSIST von halbrechts und befördert das Leder mit dem linken Innenrist ins lange Eck .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 0 10 2 12 13 10 10 16 8 18,1 1 3 3 5 5 7 7 9 9 11 11 14 14 15 15 17 17,PLAYER befördernMit Innenrist öffnen Fuß befördern Leder befördernIns Eck öffnenNach Rückpass attr linken ASSIST haben von halbrechts attr lange,ticker
34,PLAYER staubte nach einem Knaller von ASSIST zum SCORE ab .,A0 A1 A0 A1 A0 A1,0 2 2 4 5 2,1 1 3 3 6 6,ASSIST haben Knaller attr SCORE PLAYER staubenNach,report
35,ASSIST bringt eine Ecke von links vors Tor .,A0 A1 A0 A1 A0 A1,0 2 0 4 2 6,1 1 3 3 5 5,ASSIST bringen Ecke bringenVors Tor von links,ticker
36,Nach langem Ball von ASSIST traf der eingewechselte PLAYER mit etwas Glück über Grahl hinweg ins Netz .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 9 6 6 12,1 1 3 3 5 5 7 7 10 10 11 11,PLAYER treffenMit Glück treffenIns Netz treffenNach Ball über Grahl ASSIST haben attr langem,report
