,tgt,label,node1,node2,nodes,ctx
0,"castro schlenzt eine ecke von rechts in die mitte , wo reinartz von der defensive nicht angegangen wird .",A0 A1 A0 A1 A0 A1,0 2 2 4 2 6,1 1 3 3 5 5,castro schlenzen ecke von rechts der mitte,ticker
1,"hoffmann spielt im strafraum huszti frei , der vor benaglio auftaucht und den torwart tunnelt !",A0 A1 A0 A1 A0 A1,0 2 2 4 4 6,1 1 3 3 5 5,hoffmann freispielen strafraum strafraum huszti tunnelt torwart,ticker
2,burgstaller staubte nach einem versuch von goretzka eiskalt ab .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,burgstaller abstauben versuchen von goretzka,report
3,sakai schlägt einen freistoß aus der eigenen hälfte in richtung des schalker strafraums .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8,1 1 3 3 5 5 7 7,sakai schlagen freistoß eigen hälfte in richtung schalker strafraum,ticker
4,"robben bringt den ball nach innen , wo sich müller durchwuselt und zum abschluss kommt .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 5 7 5 9,1 1 3 3 6 6 8 8,robbe bringen ballen nach innen müller durchwuselt sich kommen abschluss,ticker
5,der deutsch-kameruner bediente kacar mit einem klärungsversuch mustergültig .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,deutsch-kameruner bedienen kacar einer klärungsversuch,report
6,rodriguez schießt vom punkt aus ganz sicher rechts unten ein .,A0 A1 A0 A1 A0 A1,0 2 2 4 2 6,1 1 3 3 5 5,rodriguez einschießen punkt schießen rechts schießen unten,ticker
7,die endgültige entscheidung besorgte schließlich joker hunt unmittelbar nach seiner hereinnahme nach starker vorarbeit von walace und erneut müller .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 2 8,1 1 3 3 5 5 7 7,entscheidung besorgen hereinnahme besorgen vorarbeit besorgen hunt von walace,report
8,"weiser verliert den ball am gegnerischen strafraum an brooks , der ihn einfach nach vorne zu didavi knallt .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 6 8,1 1 3 3 5 5 7 7,weise verlieren ballen gegnerisch strafraum an brooks zu didavi,ticker
9,"eigentlich hat rausch gegen dembelé an der außenlinie schon alles im griff , doch dann kommt der pass auf ramos der den ball von rechts prima flach in die mitte bringt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 5 7 5 9 7 11 12 14,1 1 3 3 6 6 8 8 10 10 13 13,rauschen haben alle im greifen pass kommen ramos kommen ballen von rechts mitte prima flachen,ticker
