,tgt,label,node1,node2,nodes,ctx
0,"Die TEAM verteidigen ihre linke Seite zu zaghaft , Levels setzt nach , spielt Herrmann an , der flankt sofort .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 5 4 4 8,1 1 3 3 6 6 7 7,TEAM verteidigen zaghaft verteidigen Seite ihre haben attr linke,ticker
1,PLAYER schnappt sich den Ball und verwandelt sicher zum 2:1 .,A0 A1 A0 A1 A0 A1,0 2 0 4 0 6,1 1 3 3 5 5,PLAYER schnappen Ball verwandeln sicher schnappen sich,ticker
2,"PER überläuft PER und Petsos , spielt steil in den Sechzehner auf ASSIST .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 0 0 0 0 8,1 1 3 3 5 5 6 6 7 7,PER spielenAuf ASSIST spielen steil überlaufen überlaufen spielenIn Sechzehner,ticker
3,Die TEAM verlieren den Ball im Vorwärtsgang und ASSIST leitet den Konter ein .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 8 2 8 4,1 1 3 3 5 5 7 7 9 9 10 10,TEAM verlierenIm ASSIST verlierenIm Vorwärtsgang leiten Konter verlieren Ball im im,ticker
4,"ASSIST versetzte rechts im Strafraum zwei Gegenspieler und fand in der Mitte PLAYER , der aus kurzer Distanz unter die Querlatte vollendete .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 9 11 9 6 9 14 11 16 8 18,1 1 3 3 5 5 7 7 10 10 12 12 13 13 15 15 17 17,ASSIST versetzen rechts versetzenIm Strafraum findenIn Mitte versetzen Gegenspieler PLAYER vollendenAus Distanz sein vollendenUnter Querlatte attr kurzer attr zwei,report
5,PLAYER bedankt sich und drückt den Ball diesmal über die Linie zum 1:1 .,A0 A1 A0 A1 A0 A1,0 2 0 4 0 6,1 1 3 3 5 5,PLAYER bedanken sich drücken Ball drückenÜber Linie,ticker
6,"Joker PER passte flach quer in den Sechzehner , wo Diaz gegen ASSIST grätschte und den Regisseur zu Fall brachte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 8 10,1 1 3 3 5 5 7 7 9 9,PER bringenZu Fall passteQuer quer grätschenGegen ASSIST passteIn Sechzehner attr grätschte,report
7,"Ibisevic setzt nach , schnappt sich die Kugel und spielt auf ASSIST .",A0 A1 A0 A1,0 2 0 4,1 1 3 3,Kugel spielenAuf ASSIST schnappen sich,ticker
8,"PLAYER und ASSIST spielten einen doppelten Doppelpass , sodass PLAYER frei vor KEEPER auftauchte und per Lupfer auf SCORE erhöhte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 0 10 8 12 8 12 14 8,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15,PLAYER auftauchenFrei frei auftauchenVor KEEPER erhöhenAuf SCORE spielen Doppelpass erhöhenPer Lupfer attr doppelten attr ASSIST spielen,report
9,"ASSIST spielt PLAYER flach am Strafraumrand an , der den zu stürmisch agierenden PER mit einer Körperdrehung verlädt und aus 17 Metern in zentraler Position zielgenau ins rechte Toreck einschießt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 0 10 0 12 0 14 4 10 4 17 4 6 4 8 6 21 6 21 8 24 8 24 8 14 17 28 14 30 14 30,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15 16 16 18 18 19 19 20 20 22 22 23 23 25 25 26 26 27 27 29 29 31 31,ASSIST spielenAm Strafraumrand spielen PLAYER spielenIns Toreck spielenAus Metern spielenMit Körperdrehung spielen flach spielenIn Position verladenMit verladen PER einschießenIns einschießenAus attr rechte attr attr 17 attr in attr agierenden attr zentraler attr,ticker
10,PLAYER tritt an und jagt den Ball ins linke Eck .,A0 A1 A0 A1 A0 A1,0 2 0 4 4 6,1 1 3 3 5 5,PLAYER jagen Ball jagenIns Eck attr linke,ticker
11,"S04 kombiniert auf rechts flüssig , ASSIST bewahrt das Auge und öffnet die Seite für PLAYER , der am linken Strafraumeck wartet und die Kugel frei vor KEEPER im rechten Eck unterbringt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 0 10 11 6 11 8 11 10 11 16 11 18 11 0 6 21 6 21 18 0 10 25 10 25,1 1 3 3 5 5 7 7 9 9 12 12 13 13 14 14 15 15 17 17 19 19 20 20 22 22 23 23 24 24 26 26,PLAYER unterbringen Kugel unterbringenFrei frei unterbringenIm Eck unterbringenVor KEEPER wartenAm Strafraumeck ASSIST öffnenIm öffnenVor öffnenAm bewahren Auge öffnen Seite öffnenFür attr rechten attr für attr linken attr,ticker
12,"Sané läuft los , lässt PER aussteigen und bedient mustergültig den mitgelaufenen PLAYER , der aus Nahdistanz nur noch einschieben muss .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 4 10 4 12 4 8,1 1 3 3 5 5 7 7 9 9 11 11 13 13,PER bedienen mustergültig bedienen PLAYER lässt aussteigen bedienenAus Nahdistanz attr mitgelaufenen muss einschieben mussAus,ticker
13,"Kurz darauf brachte Hecking PLAYER für PER , auch dieser Wechsel sollte sich voll auszahlen .",A0 A1 A0 A1,0 2 3 5,1 1 4 4,PLAYER bringenFür PER Wechsel sollen auszahlen,report
14,"Nach einem Einwurf spielte der Blondschopf vor dem Strafraum quer auf PLAYER , die Abwehr des TEAM rückte zu spät raus , und der Rechtschuss des türkischen von PLAYER von halbrechts aus 22 Metern zischte genau ins linke Eck .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 7 9 7 11 9 13 14 16 14 16 16 19,1 1 3 3 5 5 8 8 10 10 12 12 15 15 17 17 18 18,Blondschopf spielenVor Strafraum spielenNach Einwurf auf PLAYER Rechtschuss zischenIns Eck von halbrechts attr linke TEAM haben Abwehr hat rücken spät,report
