,tgt,label,node1,node2,nodes,ctx
0,Nach Oczipkas Ecke leitet Abraham die Kugel per Kopf weiter .,A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 4 8,1 1 3 3 5 5 7 7,Abraham weiterleiten kugeln oczipkas Ecke per Kopf nach Oczipkas,ticker
1,"Mehmedi wird an der Grundlinie auf der linke Seite nicht konsequent angegriffen , er flankt vor das Tor , Klein hält noch den Fuß rein und fälscht die Hereingabe ab .",A0 A1 A0 A1,0 2 0 4,1 1 3 3,Klein halten fußen abfälschen Hereingabe,ticker
2,"Thommy bleibt zwar zunächst mit seinem hart geschossenen Freistoß an der Mauer hängen , doch der Ball rutscht durch zu Gomez .",A0 A1,0 2,1 1,ballen rutschen Gomez,ticker
3,"Zum Abstieg wird es heute wohl mehr nicht kommen , weil Gondorf nach einem Freistoß richtig steht .",A0 A1,0 2,1 1,Gondorf stehen Freistoß,ticker
4,"Fuchs ist mit aufgerückt , flankt hoch ins Zentrum , wo Allagui hochsteigt und aus kurzer Distanz einnickt .",A0 A1 A0 A1,0 2 2 4,1 1 3 3,Allagui einnickt Distanz aus kurz,ticker
5,"Hübner hatte das vorentscheidende Kopfballduell für sich entschieden , ehe Wagner sich gegen Bender illegal Platz verschaffte und so das Leder mit den Haarspitzen hinter die Linie drückte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 3 5 3 7 3 9 5 11 9 13 9 15,1 1 4 4 6 6 8 8 10 10 12 12 14 14,Hübner haben Kopfballduell Wagner verschaffen sich verschaffen platzen drücken ledern gegen Bender der Haarspitzen der Linie,report
6,"Hummels schickt Aubameyang mit tollem Pass halblinks in den Sechzehner , den Querpass von Aubameyang an Hradecky vorbei muss Mkhitaryan nur noch über die Linie drücken .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 6 2 8,1 1 3 3 5 5 7 7,Hummels schicken Aubameyang toll Pass schicken halblinks der Sechzehner,ticker
7,"Aus sechs Metern kommt Wagner zum Kopfball , doch Sommer rettet mit einer Parade .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 7 9,1 1 3 3 5 5 8 8,Wagner kommen Meter kommen Kopfball meter sechs Sommer retten Parade,ticker
8,Aubameyang versucht es mit dem Nachschuss .,A0 A1 A0 A1,0 2 2 4,1 1 3 3,Aubameyang versuchen ich der Nachschuss,ticker
9,"Doch nur Sekunden nach seiner Glanzparade unterlief der Norweger den folgenden Eckball von Max , Caiuby bedankte sich und jagte den Ball zur Führung für den FCA unter die Querlatte .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 4 6 4 8,1 1 3 3 5 5 7 7,Caiuby bedanken sich jagen ballen zur Führung der Querlatte,report
