,tgt,label,node1,node2,nodes,ctx
0,"Die TEAM verteidigen ihre linke Seite zu zaghaft , Levels setzt nach , spielt Herrmann an , der flankt sofort .",A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 2 6 7 2,1 1 3 3 5 5 8 8,TEAM verteidigen Seite verteidigen zaghaft attr linke ihre haben,ticker
1,PLAYER schnappt sich den Ball und verwandelt sicher zum 2:1 .,A0 A1 A0 A1 A0 A1,0 2 0 4 0 6,1 1 3 3 5 5,PLAYER schnappen Ball verwandeln sicher schnappen sich,ticker
2,"PER überläuft Bugera und Petsos , spielt steil in den Sechzehner auf ASSIST .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 0 0 0 0 6 0 8,1 1 3 3 4 4 5 5 7 7,PER spielen steil überlaufen überlaufen spielen Sechzehner spielen ASSIST,ticker
3,Die TEAM verlieren den Ball im Vorwärtsgang und ASSIST leitet den Konter ein .,A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 8 6 8 2,1 1 3 3 5 5 7 7 9 9 10 10,TEAM verlieren Vorwärtsgang leiten Konter verlieren ASSIST verlieren Ball im im,ticker
4,"ASSIST versetzte rechts im Strafraum zwei Gegenspieler und fand in der Mitte PLAYER , der aus kurzer Distanz unter die Querlatte vollendete .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 2 8 9 11 9 13 9 4 9 16 16 18,1 1 3 3 5 5 7 7 10 10 12 12 14 14 15 15 17 17,PLAYER vollenden Distanz sein Mitte vollenden Querlatte attr kurzer ASSIST versetzen rechts versetzen Strafraum finden versetzen Gegenspieler attr zwei,report
5,PLAYER bedankt sich und drückt den Ball diesmal über die Linie zum 1:1 .,A0 A1 A0 A1 A0 A1,0 2 0 4 0 6,1 1 3 3 5 5,PLAYER drücken Linie bedanken sich drücken Ball,ticker
6,"Joker Lex passte flach quer in den Sechzehner , wo PER gegen ASSIST grätschte und den Regisseur zu Fall brachte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 6 10,1 1 3 3 5 5 7 7 9 9,PER passte quer bringen Fall passte Sechzehner grätschen ASSIST attr grätschte,report
7,"Ibisevic setzt nach , schnappt sich die Kugel und spielt auf ASSIST .",A0 A1 A0 A1,0 2 0 4,1 1 3 3,Kugel spielen ASSIST schnappen sich,ticker
8,"PLAYER und ASSIST spielten einen doppelten Doppelpass , sodass PLAYER frei vor KEEPER auftauchte und per Lupfer auf SCORE erhöhte .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 2 4 2 4 6 2 6 9 6 11 6 13 6 15,1 1 3 3 5 5 7 7 8 8 10 10 12 12 14 14,ASSIST spielen Doppelpass attr doppelten attr PLAYER spielen erhöhen SCORE erhöhen Lupfer auftauchen KEEPER auftauchen frei,report
9,"ASSIST spielt PLAYER flach am Strafraumrand an , der den zu stürmisch agierenden PER mit einer Körperdrehung verlädt und aus 17 Metern in zentraler Position zielgenau ins rechte Toreck einschießt .",A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1 A0 A1,0 2 0 4 0 6 0 8 0 10 0 12 0 14 2 16 2 14 2 10 2 4 16 21 4 23 4 23 10 26 10 26 10 6 6 30 6 30,1 1 3 3 5 5 7 7 9 9 11 11 13 13 15 15 17 17 18 18 19 19 20 20 22 22 24 24 25 25 27 27 28 28 29 29 31 31,ASSIST spielen PLAYER spielen Toreck spielen Position spielen Strafraumrand spielen Metern spielen flach spielen Körperdrehung verladen PER verladen einschießen einschießen attr agierenden attr rechte attr attr 17 attr in attr zentraler attr,ticker
